CODIBGE_domicílio do devedor;COMARCA_ABR - DOMICILIO DO DEVEDOR;CODIBGE_ABR_Praça de Protesto;PRAÇA DE PROTESTO;ABR_UF;;
2112803;VIANA;2112803;VIANA;MA;;
2112852;VILA NOVA DOS MARTIRIOS;2112852;VILA NOVA DOS MARTIRIOS;MA;;
2112902;VITORIA DO MEARIM;2112902;VITORIA DO MEARIM;MA;;
2113009;VITORINO FREIRE;2113009;VITORINO FREIRE;MA;;
2114007;ZE DOCA;2114007;ZE DOCA;MA;;
3111002; BANDEIRA DO SUL;3105301;CAMPESTRE MG;MG;;
3102803; BOM JARDIM DE MINAS MG;3107505;ANDRELANDIA;MG;;
3118304; CASA GRANDE;3114907;CONSELHEIRO LAFAIETE;MG;;
3138807; CORREGO DANTA;3119807;LUZ;MG;;
3121605; FELICIO DOS SANTOS;3125408;DIAMANTINA;MG;;
3148004; LAGOA FORMOSA;3137502;PATOS DE MINAS;MG;;
3103405; PADRE PARAISO;3146305;ARACUAI;MG;;
3121605; PRESIDENTE KUBITSCHEK;3153301;DIAMANTINA;MG;;
3123205; QUARTEL GERAL;3153707;DORES DO INDAIA;MG;;
3113404; SANTA RITA DE MINAS;3159357;CARATINGA;MG;;
3111507; SANTA ROSA DA SERRA ;3159704;CAMPOS ALTOS;MG;;
3140803; SANTANA DO DESERTO;3158607;MATIAS BARBOSA;MG;;
3111200; SANTANA DO JACARE;3158805;CAMPO BELO;MG;;
3139409; SANTANA DO MANHUACU;3158904;MANHUACU;MG;;
3161106; SAO FRANCISCO;3161106;SAO FRANCISCO;MG;;
3100203;ABAETE;3100203;ABAETE;MG;;
3100302;ABRE CAMPO;3100302;ABRE CAMPO;MG;;
3152105;ACAIACA;3100401;PONTE NOVA;MG;;
3100500;ACUCENA;3100500;ACUCENA;MG;;
3112307;AGUA BOA ;3100609;CAPELINHA;MG;;
3170107;AGUA COMPRIDA;3100708;UBERABA;MG;;
3111200;AGUANIL;3100807;CAMPO BELO;MG;;
3100906;AGUAS FORMOSAS;3100906;AGUAS FORMOSAS;MG;;
3148707;AGUAS VERMELHAS;3101003;PEDRA AZUL;MG;;
3101102;AIMORES;3101102;AIMORES;MG;;
3101201;AIURUOCA;3101201;AIURUOCA;MG;;
3133006;ALAGOA;3101300;ITAMONTE;MG;;
3101508;ALEM PARAIBA;3101508;ALEM PARAIBA;MG;;
3101607;ALFENAS;3101607;ALFENAS;MG;;
3101706;ALMENARA;3101706;ALMENARA;MG;;
3127701;ALPERCATA;3101805;GOVERNADOR VALADARES;MG;;
3101904;ALPINOPOLIS;3101904;ALPINOPOLIS;MG;;
3139508;ALTO CAPARAO;3102050;MANHUMIRIM;MG;;
3139508;ALTO JEQUITIBA;3153509;MANHUMIRIM;MG;;
3102100;ALTO RIO DOCE;3102100;ALTO RIO DOCE;MG;;
3168408;ALVARENGA;3102209;TARUMIRIM;MG;;
3102308;ALVINOPOLIS;3102308;ALVINOPOLIS;MG;;
3152105;AMPARO DA SERRA;3102506;PONTE NOVA;MG;;
3102605;ANDRADAS;3102605;ANDRADAS;MG;;
3102803;ANDRELANDIA;3102803;ANDRELANDIA;MG;;
3119401;ANTONIO DIAS;3103009;CORONEL FABRICIANO;MG;;
3147402;ARACAI;3103207;PARAOPEBA;MG;;
3160702;ARACITABA;3103306;SANTOS DUMONT;MG;;
3103405;ARACUAI;3103405;ARACUAI;MG;;
3103504;ARAGUARI;3103504;ARAGUARI;MG;;
3102803;ARANTINA;3103603;ANDRELANDIA;MG;;
3124005;ARAPONGA;3103702;ERVALIA;MG;;
3169604;ARAPORA;3103751;TUPACIGUARA;MG;;
3155504;ARAPUA;3103801;RIO PARANAIBA;MG;;
3145208;ARAUJOS;3103900;NOVA SERRANA;MG;;
3104007;ARAXA;3104007;ARAXA;MG;;
3104205;ARCOS;3104205;ARCOS;MG;;
3104304;AREADO;3104304;AREADO;MG;;
3138401;ARGIRITA;3104403;LEOPOLDINA;MG;;
3132503;ARICANDUVA;3104452;ITAMARANDIBA;MG;;
3104502;ARINOS;3104502;ARINOS;MG;;
3168606;ATALEIA;3104700;TEOFILO OTONI;MG;;
3104908;BAEPENDI;3104908;BAEPENDI;MG;;
3167202;BALDIM;3105004;SETE LAGOAS;MG;;
3105103;BAMBUI;3105103;BAMBUI;MG;;
3101706;BANDEIRA;3105202;ALMENARA;MG;;
3105400;BARAO DE COCAIS;3105400;BARAO DE COCAIS;MG;;
3146701;BARAO DE MONTE ALTO;3105509;PALMA;MG;;
3105608;BARBACENA;3105608;BARBACENA;MG;;
3105905;BARROSO;3105905;BARROSO;MG;;
3155702;BELA VISTA DE MINAS;3106002;RIO PIRACICABA;MG;;
3136702;BELMIRO BRAGA;3106101;JUIZ DE FORA;MG;;
3106200;BELO HORIZONTE;3106200;BELO HORIZONTE;MG;;
3100500;BELO ORIENTE;3106309;ACUCENA;MG;;
3106408;BELO VALE;3106408;BELO VALE;MG;;
3100906;BERTOPOLIS;3106606;AGUAS FORMOSAS;MG;;
3106705;BETIM;3106705;BETIM;MG;;
3105608;BIAS FORTES;3106804;BARBACENA;MG;;
3106903;BICAS;3106903;BICAS;MG;;
3100203;BIQUINHAS;3107000;ABAETE;MG;;
3107109;BOA ESPERANCA;3107109;BOA ESPERANCA;MG;;
3107307;BOCAIUVA;3107307;BOCAIUVA;MG;;
3107406;BOM DESPACHO;3107406;BOM DESPACHO;MG;;
3145109;BOM JESUS DA PENHA;3107604;NOVA RESENDE;MG;;
3105400;BOM JESUS DO AMPARO;3107703;BARAO DE COCAIS;MG;;
3113404;BOM JESUS DO GALHO;3107802;CARATINGA;MG;;
3108008;BOM SUCESSO;3108008;BOM SUCESSO;MG;;
3108107;BONFIM;3108107;BONFIM;MG;;
3108206;BONFINOPOLIS DE MINAS;3108206;BONFINOPOLIS DE MINAS;MG;;
3135209;BONITO DE MINAS;3108255;JANUARIA;MG;;
3108305;BORDA DA MATA;3108305;BORDA DA MATA;MG;;
3108404;BOTELHOS;3108404;BOTELHOS;MG;;
3165701;BRAS PIRES;3108701;SENADOR FIRMINO;MG;;
3108602;BRASILIA DE MINAS;3108602;BRASILIA DE MINAS;MG;;
3141702;BRAUNAS;3108800;MESQUITA;MG;;
3108909;BRAZOPOLIS;3108909;BRAZOPOLIS;MG;;
3109006;BRUMADINHO;3109006;BRUMADINHO;MG;;
3109105;BUENO BRANDAO;3109105;BUENO BRANDAO;MG;;
3109204;BUENOPOLIS;3109204;BUENOPOLIS;MG;;
3130903;BUGRE;3109253;INHAPIM;MG;;
3109303;BURITIS;3109303;BURITIS;MG;;
3109501;CABO VERDE;3109501;CABO VERDE;MG;;
3167202;CACHOEIRA DA PRATA;3109600;SETE LAGOAS;MG;;
3109709;CACHOEIRA DE MINAS;3109709;CACHOEIRA DE MINAS;MG;;
3148707;CACHOEIRA DE PAJEU;3102704;PEDRA AZUL;MG;;
3110004;CAETE;3110004;CAETE;MG;;
3110301;CALDAS;3110301;CALDAS;MG;;
3110509;CAMANDUCAIA;3110509;CAMANDUCAIA;MG;;
3110608;CAMBUI;3110608;CAMBUI;MG;;
3110707;CAMBUQUIRA;3110707;CAMBUQUIRA;MG;;
3132701;CAMPANARIO;3110806;ITAMBACURI;MG;;
3110905;CAMPANHA;3110905;CAMPANHA;MG;;
3111002;CAMPESTRE;3111002;CAMPESTRE;MG;;
3111101;CAMPINA VERDE;3111101;CAMPINA VERDE;MG;;
3108602;CAMPO AZUL;3111150;BRASILIA DE MINAS;MG;;
3111200;CAMPO BELO;3111200;CAMPO BELO;MG;;
3111606;CAMPO DO MEIO;3111309;CAMPOS GERAIS;MG;;
3170107;CAMPO FLORIDO;3111408;UBERABA;MG;;
3111507;CAMPOS ALTOS;3111507;CAMPOS ALTOS;MG;;
3111606;CAMPOS GERAIS;3111606;CAMPOS GERAIS;MG;;
3149903;CANA VERDE;3111903;PERDOES;MG;;
3171303;CANAA;3111705;VICOSA;MG;;
3111804;CANAPOLIS;3111804;CANAPOLIS;MG;;
3112000;CANDEIAS;3112000;CANDEIAS;MG;;
3148608;CANTAGALO;3112059;PECANHA;MG;;
3112307;CAPELINHA;3112307;CAPELINHA;MG;;
3115102;CAPETINGA;3112406;CASSIA;MG;;
3141108;CAPIM BRANCO;3112505;MATOZINHOS;MG;;
3112604;CAPINOPOLIS;3112604;CAPINOPOLIS;MG;;
3151503;CAPITOLIO;3112802;PIUMHI;MG;;
3100302;CAPUTIRA;3112901;ABRE CAMPO;MG;;
3113206;CARANAIBA;3113107;CARANDAI;MG;;
3113206;CARANDAI;3113206;CARANDAI;MG;;
3113305;CARANGOLA;3113305;CARANGOLA;MG;;
3113404;CARATINGA;3113404;CARATINGA;MG;;
3132503;CARBONITA;3113503;ITAMARANDIBA;MG;;
3162005;CAREACU;3113602;SAO GONCALO DO SAPUCAI;MG;;
3113701;CARLOS CHAGAS;3113701;CARLOS CHAGAS;MG;;
3170701;CARMO DA CACHOEIRA;3113909;VARGINHA;MG;;
3114006;CARMO DA MATA;3114006;CARMO DA MATA;MG;;
3114105;CARMO DE MINAS;3114105;CARMO DE MINAS;MG;;
3114204;CARMO DO CAJURU;3114204;CARMO DO CAJURU;MG;;
3114303;CARMO DO PARANAIBA;3114303;CARMO DO PARANAIBA;MG;;
3114402;CARMO DO RIO CLARO;3114402;CARMO DO RIO CLARO;MG;;
3114501;CARMOPOLIS DE MINAS;3114501;CARMOPOLIS DE MINAS;MG;;
3134400;CARNEIRINHO;3114550;ITURAMA;MG;;
3134301;CARRANCAS;3114600;ITUMIRIM;MG;;
3101201;CARVALHO;3114808;AIURUOCA;MG;;
3139003;CARVALHOPOLISA;3114709;MACHADO;MG;;
3124807;CASCALHO RICO;3115003;ESTRELA DO SUL;MG;;
3115102;CASSIA;3115102;CASSIA;MG;;
3115300;CATAGUASES;3115300;CATAGUASES;MG;;
3145307;CATUJI;3115458;NOVO CRUZEIRO;MG;;
3115508;CAXAMBU;3115508;CAXAMBU;MG;;
3100203;CEDRO DO ABAETE;3115607;ABAETE;MG;;
3139607;CENTRAL DE MINAS;3115706;MANTENA;MG;;
3136702;CHACARA;3115904;JUIZ DE FORA;MG;;
3141801;CHAPADA DO NORTE;3116100;MINAS NOVAS;MG;;
3104502;CHAPADA GAUCHA;3116159;ARINOS;MG;;
3129707;CLARAVAL;3116407;IBIRACI;MG;;
3143302;CLARO DOS POCOES;3116506;MONTES CLAROS;MG;;
3116605;CLAUDIO;3116605;CLAUDIO;MG;;
3171303;COIMBRA;3116704;VICOSA;MG;;
3162807;COLUNA;3116803;SAO JOAO EVANGELISTA;MG;;
3127107;COMENDADOR GOMES;3116902;FRUTAL;MG;;
3162500;CONCEICAO DA BARRA;3115201;SAO JOAO DEL REI;MG;;
3117306;CONCEICAO DAS ALAGOAS;3117306;CONCEICAO DAS ALAGOAS;MG;;
3144409;CONCEICAO DAS PEDRAS;3117207;NATERCIA;MG;;
3131208;CONCEICAO DE IPANEMA;3117405;IPANEMA;MG;;
3117504;CONCEICAO DO MATO DENTRO;3117504;CONCEICAO DO MATO DENTRO;MG;;
3151404;CONCEICAO DO PARA ;3117603;PITANGUI;MG;;
3117702;CONCEICAO DO RIO VERDE;3117702;CONCEICAO DO RIO VERDE;MG;;
3109709;CONCEICAO DOS OUROS;3117801;CACHOEIRA DE MINAS;MG;;
3149309;CONFINS;3117876;PEDRO LEOPOLDO;MG;;
3152501;CONGONHAL;3117900;POUSO ALEGRE;MG;;
3118007;CONGONHAS;3118007;CONGONHAS;MG;;
3117504;CONGONHAS DO NORTE;3118106;CONCEICAO DO MATO DENTRO;MG;;
3118205;CONQUISTA;3118205;CONQUISTA;MG;;
3118304;CONSELHEIRO LAFAIETE;3118304;CONSELHEIRO LAFAIETE;MG;;
3118403;CONSELHEIRO PENA;3118403;CONSELHEIRO PENA;MG;;
3147303;CONSOLACAO;3118502;PARAISOPOLIS;MG;;
3118601;CONTAGEM;3118601;CONTAGEM;MG;;
3107109;COQUEIRAL;3118700;BOA ESPERANCA MG;MG;;
3118809;CORACAO DE JESUS;3118809;CORACAO DE JESUS;MG;;
3147402;CORDISBURGO;3118908;PARAOPEBA;MG;;
3162005;CORDISLANDIA;3119005;SAO GONCALO DO SAPUCAI;MG;;
3119104;CORINTO;3119104;CORINTO;MG;;
3148608;COROACI;3119203;PECANHA;MG;;
3119302;COROMANDEL;3119302;COROMANDEL;MG;;
3119401;CORONEL FABRICIANO;3119401;CORONEL FABRICIANO;MG;;
3103405;CORONEL MURTA;3119500;ARACUAI;MG;;
3136702;CORONEL PACHECO;3119609;JUIZ DE FORA;MG;;
3154200;CORONEL XAVIER CHAVE;3119708;RESENDE COSTA;MG;;
3110608;CORREGO DO BOM JESUS;3119906;CAMBUI;MG;;
3126109;CORREGO FUNDO;3119955;FORMIGA;MG;;
3113404;CORREGO NOVO;3120003;CARATINGA;MG;;
3121605;COUTO DE MAGALHAES D;3120102;DIAMANTINA;MG;;
3100906;CRISOLITA;3120151;AGUAS FORMOSAS;MG;;
3111200;CRISTAIS;3120201;CAMPO BELO;MG;;
3127800;CRISTALIA;3120300;GRAO MOGOL;MG;;
3118304;CRISTIANO OTONI;3120409;CONSELHEIRO LAFAIETE;MG;;
3120508;CRISTINA;3120508;CRISTINA;MG;;
3108107;CRUCILANDIA;3120607;BONFIM MG;MG;;
3148103;CRUZEIRO DA FORTALEZA;3120706;PATROCINIO;MG;;
3120805;CRUZILIA;3120805;CRUZILIA;MG;;
3118403;CUPARAQUE;3120839;CONSELHEIRO PENA;MG;;
3148707;CURRAL DE DENTRO;3120870;PEDRA AZUL;MG;;
3120904;CURVELO;3120904;CURVELO;MG;;
3121605;DATAS;3121001;DIAMANTINA;MG;;
3132404;DELFIM MOREIRA;3121100;ITAJUBA;MG;;
3115102;DELFINOPOLIS;3121209;CASSIA;MG;;
3170107;DELTA;3121258;UBERABA;MG;;
3123908;DESTERRO ENTRE RIOS;3121407;ENTRE RIOS DE MINAS;MG;;
3121605;DIAMANTINA;3121605;DIAMANTINA;MG;;
3140001;DIOGO DE VASCONCELOS;3121704;MARIANA;MG;;
3169901;DIVINESIA;3121902;UBA;MG;;
3122009;DIVINO;3122009;DIVINO;MG;;
3127305;DIVINO DAS LARANJEIR;3122108;GALILEIA;MG;;
3171808;DIVINOLANDIA DE MINA;3122207;VIRGINOPOLIS;MG;;
3122306;DIVINOPOLIS;3122306;DIVINOPOLIS;MG;;
3148707;DIVISA ALEGRE ;3122355;PEDRA AZUL;MG;;
3101706;DIVISOPOLIS;3122454;ALMENARA;MG;;
3130903;DOM CAVATI;3122504;INHAPIM;MG;;
3117504;DOM JOAQUIM;3122603;CONCEICAO DO MATO DENTRO;MG;;
3102308;DOM SILVERIO;3122702;ALVINOPOLIS;MG;;
3114105;DOM VICOSO;3122801;CARMO DE MINAS;MG;;
3115300;DONA EUZEBIA;3122900;CATAGUASES;MG;;
3128006;DORES DE GUANHAES;3123106;GUANHAES;MG;;
3123205;DORES DO INDAIA;3123205;DORES DO INDAIA;MG;;
3165701;DORES DO TURVO;3123304;SENADOR FIRMINO;MG;;
3151503;DORESOPOLIS;3123403;PIUMHI;MG;;
3143104;DOURADOQUARA;3123502;MONTE CARMELO;MG;;
3123601;ELOI MENDES;3123601;ELOI MENDES;MG;;
3168408;ENGENHEIRO CALDAS;3123700;TARUMIRIM;MG;;
3107307;ENGENHEIRO NAVARRO;3123809;BOCAIUVA;MG;;
3113404;ENTRE FOLHAS;3123858;CARATINGA;MG;;
3123908;ENTRE RIOS DE MINAS;3123908;ENTRE RIOS DE MINAS;MG;;
3124005;ERVALIA;3124005;ERVALIA;MG;;
3124104;ESMERALDAS;3124104;ESMERALDAS;MG;;
3124203;ESPERA FELIZ;3124203;ESPERA FELIZ;MG;;
3124302;ESPINOSA;3124302;ESPINOSA;MG;;
3167400;ESPIRITO SANTO DO DO;3124401;SILVIANOPOLIS;MG;;
3152501;ESTIVA;3124500;POUSO ALEGRE;MG;;
3123205;ESTRELA DO INDAIA;3124708;DORES DO INDAIA;MG;;
3124807;ESTRELA DO SUL;3124807;ESTRELA DO SUL;MG;;
3124906;EUGENOPOLIS;3124906;EUGENOPOLIS;MG;;
3160702;EWBANK DA CAMARA;3125002;SANTOS DUMONT;MG;;
3125101;EXTREMA;3125101;EXTREMA;MG;;
3113305;FARIA LEMOS;3125309;CARANGOLA;MG;;
3135803;FELISBURGO;3125606;JEQUITINHONHA;MG;;
3120904;FELIXLANDIA;3125705;CURVELO;MG;;
3168408;FERNANDES TOURINHO;3125804;TARUMIRIM;MG;;
3125903;FERROS;3125903;FERROS;MG;;
3147105;FLORESTAL;3126000;PARA DE MINAS;MG;;
3126109;FORMIGA;3126109;FORMIGA;MG;;
3134806;FORTALEZA DE MINAS;3126307;JACUI;MG;;
3167202;FORTUNA DE MINAS;3126406;SETE LAGOAS;MG;;
3107307;FRANCISCO DUMONT;3126604;BOCAIUVA;MG;;
3126703;FRANCISCO SA;3126703;FRANCISCO SA;MG;;
3132701;FREI GASPAR;3126802;ITAMBACURI;MG;;
3127701;FREI INOCENCIO;3126901;GOVERNADOR VALADARES;MG;;
3148608;FREI LAGONEGRO;3126950;PECANHA;MG;;
3100906;FRONTEIRA DOS VALES ;3127057;AGUAS FORMOSAS;MG;;
3127107;FRUTAL;3127107;FRUTAL;MG;;
3127305;GALILEIA;3127305;GALILEIA;MG;;
3142908;GAMELEIRAS;3127339;MONTE AZUL;MG;;
3143302;GLAUCILANDIA;3127354;MONTES CLAROS;MG;;
3118403;GOIABEIRA;3127370;CONSELHEIRO PENA;MG;;
3155405;GOIANA;3127388;RIO NOVO;MG;;
3147303;GONCALVES;3127404;PARAISOPOLIS;MG;;
3171808;GONZAGA;3127053;VIRGINOPOLIS;MG;;
3121605;GOUVEIA;3127602;DIAMANTINA;MG;;
3127701;GOVERNADOR VALADARES;3127701;GOVERNADOR VALADARES;MG;;
3127800;GRAO MOGOL;3127800;GRAO MOGOL;MG;;
3128006;GUANHAES;3128006;GUANHAES;MG;;
3128105;GUAPE;3128105;GUAPE;MG;;
3152105;GUARACIABA;3128204;PONTE NOVA;MG;;
3128303;GUARANESIA;3128303;GUARANESIA;MG;;
3128402;GUARANI;3128402;GUARANI;MG;;
3106903;GUARARA;3128501;BICAS;MG;;
3171006;GUARDA-MOR;3128600;VAZANTE;MG;;
3128709;GUAXUPE;3128709;GUAXUPE;MG;;
3169901;GUIDOVAL;3128808;UBA;MG;;
3148103;GUIMARANIA;3128907;PATROCINIO;MG;;
3134202;GURINHATA;3129103;ITUIUTABA;MG;;
3144409;HELIODORA;3129202;NATERCIA;MG;;
3130903;IAPU;3129301;INHAPIM;MG;;
3129509;IBIA;3129509;IBIA;MG;;
3118809;IBIAI;3129608;CORACAO DE JESUS;MG;;
3129707;IBIRACI;3129707;IBIRACI;MG;;
3129806;IBIRITE;3129806;IBIRITE;MG;;
3108008;IBIRITUNA;3130002;BOM SUCESSO MG;MG;;
3102605;IBITIURA DE MINAS;3129905;ANDRADAS;MG;;
3130101;IGARAPE;3130101;IGARAPE;MG;;
3147105;IGARATINGA;3130200;PARA DE MINAS;MG;;
3130309;IGUATAMA;3130309;IGUATAMA;MG;;
3138203;IJACI;3130408;LAVRAS;MG;;
3113404;IMBE DE MINAS;3130556;CARATINGA;MG;;
3146008;INCONFIDENTES;3130606;OURO FINO;MG;;
3168002;INDAIABIRA;3130655;TAIOBEIRAS;MG;;
3103504;INDIANOPOLIS;3130705;ARAGUARI;MG;;
3130903;INHAPIM;3130903;INHAPIM;MG;;
3167202;INHAUMA;3131000;SETE LAGOAS;MG;;
3120904;INIMUTABA;3131109;CURVELO;MG;;
3131307;IPABA;3131158;IPATINGA;MG;;
3131208;IPANEMA;3131208;IPANEMA;MG;;
3131307;IPATINGA;3131307;IPATINGA;MG;;
3112604;IPIACU;3131406;CAPINOPOLIS;MG;;
3159209;IPUIUNA;3131505;SANTA RITA DE CALDAS;MG;;
3131703;ITABIRA;3131703;ITABIRA;MG;;
3139607;ITABIRINHA;3131802;MANTENA;MG;;
3131901;ITABIRITO;3131901;ITABIRITO;MG;;
3143302;ITACAMBIRA;3132008;MONTES CLAROS;MG;;
3135209;ITACARAMBI;3132107;JANUARIA;MG;;
3132206;ITAGUARA;3132206;ITAGUARA;MG;;
3145307;ITAIPE;3132305;NOVO CRUZEIRO;MG;;
3132404;ITAJUBA;3132404;ITAJUBA;MG;;
3132503;ITAMARANDIBA;3132503;ITAMARANDIBA;MG;;
3115300;ITAMARATI DE MINAS;3132602;CATAGUASES;MG;;
3132701;ITAMBACURI;3132701;ITAMBACURI;MG;;
3131703;ITAMBE DO MATO DENTR;3132800;ITABIRA;MG;;
3132909;ITAMOGI;3132909;ITAMOGI;MG;;
3133006;ITAMONTE;3133006;ITAMONTE;MG;;
3133105;ITANHANDU;3133105;ITANHANDU;MG;;
3133204;ITANHOMI;3133204;ITANHOMI;MG;;
3141405;ITAOBIM;3133303;MEDINA;MG;;
3133402;ITAPAGIPE;3133402;ITAPAGIPE;MG;;
3133501;ITAPECERICA;3133501;ITAPECERICA;MG;;
3110509;ITAPEVA;3133600;CAMANDUCAIA;MG;;
3133808;ITATIAIUCU;3133709;ITAUNA;MG;;
3152907;ITAU DE MINAS;3133758;PRATAPOLIS;MG;;
3133808;ITAUNA;3133808;ITAUNA;MG;;
3154309;ITUETA;3134103;RESPLENDOR;MG;;
3134202;ITUIUTABA;3134202;ITUIUTABA;MG;;
3134301;ITUMIRIM;3134301;ITUMIRIM;MG;;
3134400;ITURAMA;3134400;ITURAMA;MG;;
3134301;ITUTINGA;3134509;ITUMIRIM;MG;;
3134608;JABOTICATUBAS;3134608;JABOTICATUBAS;MG;;
3134707;JACINTO;3134707;JACINTO;MG;;
3134806;JACUI;3134806;JACUI;MG;;
3134905;JACUTINGA;3134905;JACUTINGA;MG;;
3168705;JAGUARACU;3135001;TIMOTEO;MG;;
3135050;JAIBA;3135050;JAIBA;MG;;
3132701;JAMPRUCA;3135076;ITAMBACURI;MG;;
3135100;JANAUBA;3135100;JANAUBA;MG;;
3135209;JANUARIA;3135209;JANUARIA;MG;;
3137205;JAPARAIBA;3135308;LAGOA DA PRATA;MG;;
3123908;JECEABA;3135407;ENTRE RIOS DE MINAS;MG;;
3135506;JEQUERI;3135506;JEQUERI;MG;;
3151206;JEQUITAI;3135605;PIRAPORA;MG;;
3167202;JEQUITIBA;3135704;SETE LAGOAS;MG;;
3135803;JEQUITINHONHA;3135803;JEQUITINHONHA;MG;;
3137809;JESUANIA;3135902;LAMBARI;MG;;
3135803;JOAIMA;3136009;JEQUITINHONHA;MG;;
3141702;JOANESIA;3136108;MESQUITA MG;MG;;
3136207;JOAO MONLEVADE;3136207;JOAO MONLEVADE;MG;;
3136306;JOAO PINHEIRO;3136306;JOAO PINHEIRO;MG;;
3109204;JOAQUIM FELICIO;3136405;BUENOPOLIS;MG;;
3134707;JORDANIA;3136504;JACINTO;MG;;
3169703;JOSE GONCALVES DE MINAS;3136520;TURMALINA;MG;;
3140704;JUATUBA;3136652;MATEUS LEME;MG;;
3136702;JUIZ DE FORA;3136702;JUIZ DE FORA;MG;;
3143302;JURAMENTO;3136801;MONTES CLAROS;MG;;
3144102;JURUAIA;3136900;MUZAMBINHO;MG;;
3168606;LADAINHA ;3137007;TEOFILO OTONI;MG;;
3137205;LAGOA DA PRATA;3137205;LAGOA DA PRATA;MG;;
3137403;LAGOA DOURADA;3137403;LAGOA DOURADA;MG;;
3153400;LAGOA GRANDE;3137536;PRESIDENTE OLEGARIO;MG;;
3137601;LAGOA SANTA;3137601;LAGOA SANTA;MG;;
3137700;LAJINHA;3137700;LAJINHA;MG;;
3137809;LAMBARI;3137809;LAMBARI;MG;;
3143906;LARANJAL;3138005;MURIAE;MG;;
3138203;LAVRAS;3138203;LAVRAS;MG;;
3151404;LEANDRO FERREIRA;3138302;PITANGUI;MG;;
3138401;LEOPOLDINA;3138401;LEOPOLDINA;MG;;
3101201;LIBERDADE;3138500;AIURUOCA;MG;;
3138609;LIMA DUARTE;3138609;LIMA DUARTE;MG;;
3134400;LIMEIRA DO OESTE;3138625;ITURAMA;MG;;
3162401;LONTRA;3138658;SAO JOAO DA PONTE;MG;;
3108602;LUISLANDIA;3138682;BRASILIA DE MINAS;MG;;
3138203;LUMINARIAS;3138708;LAVRAS;MG;;
3138807;LUZ;3138807;LUZ;MG;;
3100906;MACHACALIS;3138906;AGUAS FORMOSAS;MG;;
3139003;MACHADO;3139003;MACHADO;MG;;
3102803;MADRE DEUS MINAS;3139102;ANDRELANDIA;MG;;
3139201;MALACACHETA;3139201;MALACACHETA;MG;;
3124302;MAMONAS;3139250;ESPINOSA;MG;;
3139300;MANGA;3139300;MANGA;MG;;
3139409;MANHUACU;3139409;MANHUACU;MG;;
3139508;MANHUMIRIM;3139508;MANHUMIRIM;MG;;
3121605;MANJOLOS;3142502;DIAMANTINA;MG;;
3139607;MANTENA;3139607;MANTENA;MG;;
3139805;MAR DE ESPANHA;3139805;MAR DE ESPANHA;MG;;
3151404;MARAVILHAS;3139706;PITANGUI;MG;;
3140001;MARIANA;3140001;MARIANA;MG;;
3106903;MARIPA DE MINAS;3140209;BICAS;MG;;
3168705;MARLIERIA;3140308;TIMOTEO;MG;;
3120508;MARMELOPOLIS;3140407;CRISTINA;MG;;
3140506;MARTINHO CAMPOS;3140506;MARTINHO CAMPOS;MG;;
3101706;MATA VERDE;3140555;ALMENARA;MG;;
3156809;MATERLANDIA;3140605;SABINOPOLIS;MG;;
3140704;MATEUS LEME;3140704;MATEUS LEME;MG;;
3127701;MATHIAS LOBATO;3171501;GOVERNADOR VALADARES;MG;;
3140803;MATIAS BARBOSA;3140803;MATIAS BARBOSA;MG;;
3100302;MATIPO;3140902;ABRE CAMPO;MG;;
3141108;MATOZINHOS;3141108;MATOZINHOS;MG;;
3162104;MATUTINHA;3141207;SAO GOTARDO;MG;;
3105103;MEDEIROS;3141306;BAMBUI;MG;;
3141405;MEDINA;3141405;MEDINA;MG;;
3139607;MENDES PIMENTEL;3141504;MANTENA;MG;;
3141603;MERCES;3141603;MERCES;MG;;
3141702;MESQUITA;3141702;MESQUITA;MG;;
3141801;MINAS NOVAS;3141801;MINAS NOVAS;MG;;
3120805;MINDURI;3141900;CRUZILIA;MG;;
3143302;MIRABELA;3142007;MONTES CLAROS;MG;;
3142106;MIRADOURO;3142106;MIRADOURO;MG;;
3142205;MIRAI;3142205;MIRAI;MG;;
3106408;MOEDA;3142304;BELO VALE;MG;;
3107406;MOEMA;3142403;BOM DESPACHO;MG;;
3170701;MONSENHOR PAULO;3142601;VARGINHA;MG;;
3142700;MONTALVANIA;3142700;MONTALVANIA;MG;;
3142809;MONTE ALEGRE DE MINAS;3142809;MONTE ALEGRE DE MINAS;MG;;
3142908;MONTE AZUL;3142908;MONTE AZUL;MG;;
3143005;MONTE BELO;3143005;MONTE BELO;MG;;
3143104;MONTE CARMELO;3143104;MONTE CARMELO;MG;;
3143203;MONTE DE MINAS;3104106;MONTE SANTO DE MINAS;MG;;
3135803;MONTE FORMOSO;3143153;JEQUITINHONHA;MG;;
3143203;MONTE SANTO DE MINAS;3143203;MONTE SANTO DE MINAS;MG;;
3143401;MONTE SIAO;3143401;MONTE SIAO;MG;;
3143302;MONTES CLAROS;3143302;MONTES CLAROS;MG;;
3143500;MORADA NOVA DE MINAS;3143500;MORADA NOVA DE MINAS;MG;;
3120904;MORRO DA GARCA;3143609;CURVELO;MG;;
3117504;MORRO DO PILAR;3143708;CONCEICAO DO MATO DENTRO;MG;;
3109105;MUNHOZ;3143807;BUENO BRANDAO;MG;;
3143906;MURIAE;3143906;MURIAE;MG;;
3144003;MUTUM;3144003;MUTUM;MG;;
